ID,gender,Partner,ServiceForPhone,2ormoreLines,ServiceforInternet,Security,ProtectionforDevice,Support,UseType,MonthlyofCharges,TotalofCharges
68,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.15,930.9
69,Male,No,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,79.85,887.35
70,Male,No,Yes,No,DSL,No,No,Yes,Month-to-month,49.05,49.05
71,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.4,1090.65
72,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,111.6,7099
73,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.25,1424.6
74,Female,No,Yes,No,DSL,Yes,No,Yes,Month-to-month,64.5,177.4
75,Female,No,Yes,Yes,Fiber optic,Yes,Yes,No,One year,110.5,6139.5
76,Female,No,Yes,No,DSL,No,No,No,One year,55.65,2688.85
77,Female,Yes,Yes,No,DSL,Yes,No,No,Month-to-month,54.65,482.25
78,Male,No,Yes,No,DSL,Yes,No,No,Month-to-month,74.75,2111.3
79,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,One year,25.9,1216.6
80,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,79.35,79.35
81,Female,Yes,No,No phone service,DSL,Yes,No,No,Month-to-month,50.55,565.35
82,Female,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,75.15,496.9
83,Female,No,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,103.8,4327.5
84,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.15,973.35
505,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,94.1,1782.4
506,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,78.0,851.8
507,Male,Yes,Yes,No,Fiber optic,No,No,Yes,Month-to-month,94.2,167.5
508,Female,Yes,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,80.5,502.85
509,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.85,19.85
510,Male,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,One year,94.3,1818.3
511,Male,No,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,106.45,6300.15
512,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,74.35,334.8
513,Female,No,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,105.45,5916.95
514,Male,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,95.0,2852.4
515,Male,No,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,104.8,4131.95
516,Female,No,Yes,No,DSL,Yes,No,Yes,One year,54.3,1546.3
517,Female,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,70.05,302.6
518,Female,Yes,Yes,No,Fiber optic,Yes,No,No,Month-to-month,75.2,1929.35
519,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.05,265.45
520,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,One year,105.4,6989.45
521,Male,Yes,Yes,Yes,DSL,No,No,No,Month-to-month,51.6,1442
522,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.5,4713.4
523,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,75.6,1758.6
524,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,100.05,3480
525,Male,No,Yes,No,Fiber optic,Yes,Yes,No,One year,91.25,4738.3
526,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,115.75,8399.15
527,Male,Yes,Yes,Yes,Fiber optic,No,No,Yes,One year,94.7,5430.35
528,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.6,686.95
529,Female,No,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,99.9,5706.3
530,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,21.1,490.65
531,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.05,1360.25
532,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,79.95,174.45
533,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,One year,107.15,7379.8
534,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.0,85
535,Male,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,89.55,1021.75
536,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,81.55,5029.05
537,Female,Yes,Yes,No,DSL,Yes,Yes,No,One year,58.45,1955.4
538,Female,Yes,Yes,No,Fiber optic,No,No,No,One year,95.65,6744.2
539,Female,Yes,Yes,No,DSL,No,Yes,Yes,Two year,80.6,4946.7
540,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,113.1,8248.5
541,Female,No,Yes,Yes,DSL,No,No,No,Month-to-month,58.95,601.6
542,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.55,19.55
543,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,86.05,834.1
544,Male,No,No,No phone service,DSL,Yes,No,Yes,Month-to-month,45.55,597
545,Male,Yes,Yes,No,Fiber optic,No,No,No,One year,78.95,2647.2
546,Male,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,86.3,3266
547,Female,No,Yes,Yes,Fiber optic,No,No,Yes,One year,105.05,6744.25
548,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,One year,101.9,5265.5
549,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.75,311.6
550,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,110.3,7966.9
551,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,115.6,8220.4
552,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.35,1153.25
553,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.6,514.75
554,Male,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,80.35,2596.15
555,Female,Yes,Yes,Yes,DSL,Yes,Yes,No,One year,68.75,3808
556,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.9,19.9
557,Male,No,Yes,No,DSL,Yes,No,Yes,One year,70.6,2708.2
558,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.2,760.05
559,Male,No,Yes,No,DSL,No,No,Yes,Month-to-month,49.3,49.3
560,Male,Yes,Yes,Yes,Fiber optic,No,No,Yes,One year,107.25,6033.3
561,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,23.6,89.05
562,Male,Yes,Yes,No,DSL,Yes,No,No,Month-to-month,69.7,516.15
563,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Two year,99.5,5861.75
564,Male,No,Yes,No,DSL,No,Yes,Yes,Month-to-month,64.3,445.95
565,Male,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,70.85,4973.4
566,Male,Yes,Yes,No,Fiber optic,Yes,No,Yes,One year,101.9,1667.25
567,Male,Yes,Yes,Yes,DSL,Yes,No,Yes,Two year,73.5,5357.75
568,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,100.25,3527.6
569,Female,No,No,No phone service,DSL,No,Yes,Yes,One year,40.4,422.6
570,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.25,1103.25
571,Male,No,Yes,Yes,DSL,No,No,Yes,Two year,59.6,2754
572,Female,No,Yes,No,DSL,No,Yes,Yes,One year,64.9,697.25
573,Male,Yes,Yes,Yes,Fiber optic,No,No,No,One year,100.3,5614.45
574,Female,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,110.85,3204.4
575,Male,Yes,Yes,No,DSL,Yes,No,Yes,Two year,81.05,4747.65
576,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,One year,98.05,3082.1
577,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.5,597.9
578,Male,Yes,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,94.55,3365.4
579,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.65,38.8
580,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.0,233.55
581,Female,No,Yes,No,Fiber optic,Yes,No,No,Month-to-month,75.3,75.3
582,Female,No,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,89.2,346.2
583,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.0,19
584,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.0,61.7
585,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.7,85.7
586,Male,No,Yes,No,DSL,Yes,No,No,Two year,63.25,3342.45
587,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,20.1,85.1
588,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,99.15,7422.1
589,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,90.4,6668.05
590,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,111.9,8071.05
591,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,One year,24.9,1174.8
592,Male,Yes,Yes,Yes,DSL,Yes,Yes,No,Two year,83.5,5435
593,Male,No,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,84.3,2438.6
594,Male,No,Yes,No,DSL,No,No,No,Month-to-month,45.6,45.6
595,Female,No,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,61.65,713.75
596,Male,No,No,No phone service,DSL,Yes,Yes,Yes,Two year,54.85,916.15
597,Male,No,Yes,Yes,DSL,No,No,Yes,Month-to-month,65.55,237.2
598,Male,Yes,Yes,Yes,Fiber optic,No,No,No,One year,90.35,4614.55
599,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.4,1414.45
600,Male,No,Yes,No,Fiber optic,No,No,Yes,Month-to-month,74.55,1170.5
601,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,19.95,47.7
602,Female,Yes,Yes,Yes,Fiber optic,No,No,No,One year,74.25,4859.25
603,Male,No,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,108.65,4903.2
604,Female,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,109.55,3608
605,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,86.65,6094.25
606,Male,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,81.0,3084.9
607,Male,No,Yes,No,DSL,No,No,Yes,One year,47.85,2356.75
608,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,114.55,8306.05
609,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,105.25,6786.4
610,Male,Yes,No,No phone service,DSL,No,No,No,Month-to-month,29.95,248.95
611,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,65.0,663.05
612,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.55,1357.1
613,Female,No,Yes,Yes,Fiber optic,Yes,Yes,No,One year,109.8,4860.35
614,Male,No,Yes,Yes,DSL,No,Yes,Yes,Two year,69.5,3418.2
615,Female,No,Yes,Yes,DSL,No,No,No,Month-to-month,48.85,631.4
616,Male,No,No,No phone service,DSL,No,No,No,Month-to-month,25.25,186.3
617,Female,No,Yes,Yes,Fiber optic,No,Yes,Yes,One year,102.85,6976.75
618,Female,No,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,87.55,4884.85
619,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,78.55,522.95
620,Male,Yes,No,No phone service,DSL,No,No,No,Month-to-month,34.55,362.6
621,Female,No,Yes,Yes,Fiber optic,Yes,Yes,No,One year,92.05,5755.8
622,Male,Yes,Yes,No,Fiber optic,No,Yes,No,One year,85.05,3355.65
623,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.7,406.95
624,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.0,137.6
625,Female,Yes,Yes,No,Fiber optic,No,No,Yes,Month-to-month,95.15,2395.7
626,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,84.25,1968.1
627,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,One year,104.6,6819.45
628,Female,No,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,111.65,7943.45
629,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,90.05,4547.25
630,Male,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,110.75,4687.9
631,Female,Yes,Yes,Yes,DSL,Yes,No,No,Month-to-month,55.0,2473.95
632,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,89.85,6562.9
633,Male,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.35,176.3
634,Female,No,No,No phone service,DSL,Yes,No,Yes,One year,54.55,2236.2
635,Female,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,105.5,6985.65
636,Male,No,Yes,No,Fiber optic,No,Yes,Yes,Two year,99.45,3109.9
637,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,70.9,4911.35
638,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,One year,104.55,5794.65
639,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,85.25,855.3
640,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.4,1620.2
641,Female,Yes,Yes,No,DSL,No,No,No,Month-to-month,56.15,2499.3
642,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,89.55,89.55
643,Female,No,Yes,No,Fiber optic,No,Yes,No,One year,89.85,4287.2
644,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,25.25,394.85
645,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,94.55,1899.65
646,Male,No,Yes,No,DSL,No,No,No,Month-to-month,45.7,45.7
647,Male,Yes,Yes,Yes,DSL,No,Yes,Yes,One year,69.65,3442.15
648,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,89.5,161.5
649,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.0,1732.6
650,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,69.55,222.3
651,Female,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,74.6,74.6
652,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.1,655.3
653,Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,24.8,475.25
654,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,19.65,164.3
655,Male,No,Yes,No,Fiber optic,No,No,Yes,Month-to-month,95.1,865.1
656,Male,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,88.85,6132.7
657,Male,Yes,Yes,No,DSL,Yes,Yes,No,One year,78.8,3597.5
658,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.85,35.9
659,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.35,697.65
660,Female,No,No,No phone service,DSL,No,No,No,Month-to-month,24.25,96.05
661,Female,No,Yes,No,DSL,No,No,No,Month-to-month,45.25,428.7
662,Male,No,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,20.05,20.05
663,Male,Yes,Yes,Yes,DSL,Yes,No,No,Two year,69.55,4459.15
664,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.5,1167.6
665,Female,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,74.75,238.1
666,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,69.65,145.15
667,Male,No,No,No phone service,DSL,No,Yes,No,Month-to-month,30.2,1453.1
668,Female,No,Yes,No,DSL,No,No,No,Month-to-month,45.65,191.05
669,Female,Yes,No,No phone service,DSL,No,Yes,Yes,Two year,57.8,4039.3
670,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.85,1039.45
671,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.55,1336.1
672,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,75.05,75.05
673,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,24.85,493.4
674,Male,No,No,No phone service,DSL,No,No,No,Month-to-month,49.15,2550.9
675,Male,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,110.35,7246.15
676,Female,No,Yes,Yes,No,No internet service,No internet service,No internet service,One year,24.55,1203.95
677,Female,No,No,No phone service,DSL,No,No,No,Month-to-month,34.7,62.25
1622,Female,Yes,Yes,No,DSL,Yes,No,Yes,One year,70.6,3231.05
1623,Female,No,Yes,Yes,Fiber optic,No,No,No,Two year,97.2,5129.45
1624,Female,Yes,Yes,Yes,Fiber optic,No,No,No,One year,98.25,5508.35
1625,Female,Yes,Yes,No,Fiber optic,No,Yes,No,Month-to-month,75.75,655.9
1626,Male,No,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,59.2,1191.2
1627,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,75.9,866.4
1628,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,90.05,2627.2
2213,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.25,274.7
2214,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,86.3,1180.95
2215,Female,Yes,No,No phone service,DSL,Yes,Yes,Yes,Two year,49.85,3370.2
2216,Female,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,108.95,7111.3
2217,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,89.9,5958.85
2218,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,82.0,5999.85
2219,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,89.95,1648.45
2220,Male,Yes,Yes,No,DSL,Yes,No,Yes,Two year,79.35,5753.25
2221,Female,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,64.05,4492.9
2222,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,101.15,3956.7
2223,Female,No,Yes,Yes,Fiber optic,No,No,No,Month-to-month,89.95,2625.55
2224,Male,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,76.45,1233.4
2225,Male,No,No,No phone service,DSL,No,No,No,One year,39.1,1309
2226,Female,Yes,No,No phone service,DSL,Yes,No,Yes,Two year,34.6,813.45
2227,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.55,1108.8
2228,Female,Yes,Yes,Yes,Fiber optic,No,No,Yes,Two year,104.45,7349.35
2229,Male,Yes,Yes,No,Fiber optic,No,No,No,Month-to-month,70.5,294.2
2230,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.35,929.2
2231,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.0,740
2232,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.45,754.5
2233,Male,No,Yes,No,DSL,Yes,No,Yes,Month-to-month,69.9,3883.3
2234,Male,Yes,Yes,Yes,DSL,No,No,Yes,Two year,59.7,1414.2
2235,Female,Yes,Yes,Yes,DSL,Yes,Yes,No,One year,78.35,3211.2
2236,Male,No,Yes,No,Fiber optic,No,No,No,Month-to-month,71.45,371.6
2237,Male,Yes,No,No phone service,DSL,No,Yes,No,One year,45.85,1246.4
2238,Female,No,Yes,No,Fiber optic,No,No,Yes,Month-to-month,95.85,95.85
2239,Female,Yes,No,No phone service,DSL,Yes,No,Yes,Two year,35.7,2545.7
2240,Female,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Two year,89.55,6448.85
2241,Female,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,24.95,1468.9
2242,Male,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,One year,24.85,1013.6
2243,Female,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,100.8,6690.75
2244,Female,No,Yes,Yes,DSL,Yes,No,Yes,One year,64.4,2088.75
2245,Female,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,105.35,7240.65
2246,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Month-to-month,102.45,102.45
2247,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,19.65,830.25
2248,Male,Yes,Yes,Yes,DSL,Yes,No,No,Month-to-month,54.45,1588.7
2249,Female,No,Yes,No,DSL,No,No,Yes,Month-to-month,70.5,829.3
2250,Female,No,Yes,No,No,No internet service,No internet service,No internet service,One year,20.1,302.45
2251,Male,No,Yes,No,DSL,No,Yes,No,Month-to-month,69.35,712.25
2252,Female,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.8,1336.65
2253,Male,Yes,Yes,No,DSL,Yes,Yes,Yes,Two year,74.4,5360.75
2254,Male,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,93.05,6735.05
2255,Female,No,Yes,No,DSL,Yes,No,No,Month-to-month,51.2,51.2
2256,Female,No,Yes,No,DSL,Yes,Yes,Yes,One year,65.6,1010
2257,Female,No,Yes,Yes,DSL,No,Yes,Yes,One year,80.55,4847.05
2258,Male,No,Yes,No,DSL,Yes,Yes,No,One year,52.7,3019.7
2259,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.85,161.65
2260,Female,No,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,80.1,217.55
2261,Female,Yes,Yes,Yes,DSL,No,No,No,Month-to-month,52.15,2583.75
2262,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,80.2,146.05
2263,Female,No,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,98.15,567.45
2264,Male,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,114.95,7711.25
2265,Male,No,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,112.95,1384.75
2266,Male,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,One year,104.45,5481.25
2267,Female,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,113.65,8124.2
2268,Female,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,20.6,827.3
2269,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,70.9,70.9
2270,Female,No,Yes,No,Fiber optic,No,Yes,No,Month-to-month,86.85,220.95
2271,Female,No,Yes,No,Fiber optic,No,No,No,Month-to-month,91.55,3673.6
2272,Male,No,Yes,No,DSL,No,Yes,No,Month-to-month,49.85,49.85
2273,Male,Yes,Yes,No,No,No internet service,No internet service,No internet service,One year,19.8,576.65
2274,Male,Yes,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,99.85,2331.3
2275,Male,Yes,Yes,Yes,Fiber optic,No,No,No,Month-to-month,74.5,74.5
2276,Female,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,104.15,4495.65
2277,Male,No,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,109.15,6941.2
2278,Female,No,Yes,No,DSL,Yes,No,No,Month-to-month,48.2,340.35
2279,Male,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,25.1,1789.9
2280,Female,No,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,100.15,908.55
2281,Female,No,Yes,Yes,DSL,No,Yes,No,Month-to-month,65.2,1043.35
2282,Male,Yes,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,99.5,6822.15
